Порядковый номер;Base image URL;Title;Description;номер договора;Номер аукциона;prise;start;stop;Base Image URL 1;Base Image URL 2;Base Image URL 3;Base Image URL 4;Base Image URL 5;Base Image URL 6;;;
1000280;http://auction-ruseasons.ru/items_images/;Картина «Ветка яблони».;Неизвестный художник, холст, масло, н. ХХ в., 85х35 см (холст дублирован);02/206/22;№02;25000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_22_1.jpg;02_206_22_2.jpg;;;;;;;
1000281;http://auction-ruseasons.ru/items_images/;Картина «Натюрморт с тюльпанами».;Бумага, гуашь, Западная Европа, к. XIX в., размер 50х60 см;02/206/24;№02;26000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_24_1.jpg;02_206_24_2.jpg;;;;;;;
1000282;http://auction-ruseasons.ru/items_images/;Картина  «Зимний лес, лиса».;Холст, масло, Западная Европа, подпись и дата слева внизу «Th. Wallner 1919», размер 100х140 см;02/206/25;№02;160000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_25_1.jpg;02_206_25_2.jpg;02_206_25_3.jpg;;;;;;
1000283;http://auction-ruseasons.ru/items_images/;Акварель «Цветущая сакура».;Бумага, акварель, подпись «Y. Hasegawa», н. ХХ в., 49х32 см;02/206/26;№02;8000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_26_1.jpg;02_206_26_2.jpg;02_206_26_3.jpg;;;;;;
1000284;http://auction-ruseasons.ru/items_images/;Картина «Корабли в штормовом море».;Бумага, пастель, под стеклом, подпись внизу справа «В. Picot», дата неразборчиво, Западная Европа, 2-я пол. XIX в., размер 46х61 см. (рама с утратами);02/207/03;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_207_03_1.jpg;02_207_03_2.jpg;02_207_03_3.jpg;;;;;;
1000285;http://auction-ruseasons.ru/items_images/;«Натюрморт с цветами».;Металл, масло, подпись в правом нижнем углу неразборчиво, в рамке, под стеклом, Западная Европа, к. XIX в., размер 17,5х9 см.;02/214/04;№02;11000;4 декабря 2010 г.;14 декабря 2010 г.;02_214_04_1.jpg;02_214_04_2.jpg;02_214_04_3.jpg;;;;;;
1000286;http://auction-ruseasons.ru/items_images/;Картина «Сеттер».;Дерево, масло, подпись Maris Simon (1873-1935), Голландия, н. ХХ в., 20х25 см;02/215/04;№02;6000;4 декабря 2010 г.;14 декабря 2010 г.;02_215_04_1.jpg;02_215_04_2.jpg;02_215_04_3.jpg;;;;;;
1000287;http://auction-ruseasons.ru/items_images/;Burgeois Eugene (1855-1909) «Пейзаж с деревьями у озера».;Холст, масло, без подписи, Франция, 2-я пол. ХIХ в., 55,5х38 см (сколы на раме);02/215/05;№02;26000;4 декабря 2010 г.;14 декабря 2010 г.;02_215_05_1.jpg;02_215_05_2.jpg;02_215_05_3.jpg;;;;;;
1000288;http://auction-ruseasons.ru/items_images/;Картина «Лодка в заводи реки» неизвестный художник.;Холст, масло, ХХ век, 49х68 см;02/061/05;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_061_05_1.jpg;02_061_05_2.jpg;;;;;;;
1000289;http://auction-ruseasons.ru/items_images/;Неизвестный художник «Пейзаж с рекой и паровым катером».;Холст, масло, ХХ в. Размер 61,5х88см;02/219/02;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_219_02_1.jpg;02_219_02_2.jpg;;;;;;;
1000290;http://auction-ruseasons.ru/items_images/;Ducomman «Замок у моря в лунную ночь».;Холст, масло, нач. ХХ в. Размер 59х89см;02/219/04;№02;28000;4 декабря 2010 г.;14 декабря 2010 г.;02_219_04_1.jpg;02_219_04_2.jpg;02_219_04_3.jpg;;;;;;
1000291;http://auction-ruseasons.ru/items_images/;Картина «Закат в сосновом лесу».;Фанера, масло, подпись поздняя С.Федоров, ХХ в. Размер 70х92см;02/219/05;№02;10000;4 декабря 2010 г.;14 декабря 2010 г.;02_219_05_1.jpg;02_219_05_2.jpg;02_219_05_3.jpg;;;;;;
1000292;http://auction-ruseasons.ru/items_images/;Неизвестный художник «Ночь у горного озера».;Холст, масло, к. ХIХ - н. ХХ вв. Размер 66,5х97,5 см (кромки дублированы);02/219/07;№02;28000;4 декабря 2010 г.;14 декабря 2010 г.;02_219_07_1.jpg;02_219_07_2.jpg;;;;;;;
1000293;http://auction-ruseasons.ru/items_images/;Картина «Анютины глазки».;Бумага, акварель, Западная Европа, к. XIX - н. ХХ в., в рамке под стеклом;02/215/08;№02;7000;4 декабря 2010 г.;14 декабря 2010 г.;02_215_08_1.jpg;02_215_08_2.jpg;02_215_08_3.jpg;;;;;;
